sense_uid	entry_id	ordinal	sense_kind	pos	pos_simp	tags	register	domain	def_trad	def_simp	expl_trad	expl_simp	exemption	sgi	prompt_id	review_status	adjudication	edits
一旦|一旦|yi1 dan4~1	一旦|一旦|yi1 dan4	1	defined	["連"]	["连"]	["function-word"]	[]	[]	用在前一個分句，表示假設出現某種情況	用在前一个分句，表示假设出现某种情况	「一旦」多用在後果比較嚴重的假設，「如果」用在一般的假設。	「一旦」多用在后果比较严重的假设，「如果」用在一般的假设。		[0, 1, 2, 3]	function-word	unreviewed		[]
一旦|一旦|yi1 dan4~2	一旦|一旦|yi1 dan4	2	defined	["副"]	["副"]	[]	["lit"]	[]	在很短的時間裡，表示變化來得很快	在很短的时间里，表示变化来得很快				[4, 5]	general	unreviewed		[]
一樣|一样|yi1 yang4~1	一樣|一样|yi1 yang4	1	defined	["形"]	["形"]	[]	[]	[]	兩者之間沒有不同	两者之间没有不同	常說「跟…一樣」或「像…一樣」，後面還可以再加形容詞。	常说「跟…一样」或「像…一样」，后面还可以再加形容词。		[0, 1, 2, 3, 4]	general	unreviewed		[]
一生|一生|yi1 sheng1~1	一生|一生|yi1 sheng1	1	defined	["名"]	["名"]	[]	[]	[]	人從出生到死的整個時間	人从出生到死的整个时间	「一輩子」意思相同，多用在口語。	「一辈子」意思相同，多用在口语。		[0]	general	unreviewed		[]
一直|一直|yi1 zhi2~1	一直|一直|yi1 zhi2	1	defined	["副"]	["副"]	[]	[]	[]	表示情況持續不變，中間沒有停	表示情况持续不变，中间没有停	「一直」說的是不間斷的一段時間，「總是」說的是每次都這樣。	「一直」说的是不间断的一段时间，「总是」说的是每次都这样。		[1]	general	unreviewed		[]
一直|一直|yi1 zhi2~2	一直|一直|yi1 zhi2	2	defined	["副"]	["副"]	[]	[]	[]	表示朝一個方向走，不轉方向	表示朝一个方向走，不转方向				[0]	general	unreviewed		[]
一致|一致|yi1 zhi4~1	一致|一致|yi1 zhi4	1	defined	["形", "副"]	["形", "副"]	[]	[]	[]	彼此的看法或做法完全相同的	彼此的看法或做法完全相同的	「一致」多說人的看法或行動，「相同」什麼都能說。	「一致」多说人的看法或行动，「相同」什么都能说。		[0, 1]	general	unreviewed		[]
一般|一般|yi1 ban1~1	一般|一般|yi1 ban1	1	defined	["形"]	["形"]	[]	[]	[]	普通的，沒有特別的地方	普通的，没有特别的地方				[1, 2, 3, 4]	general	unreviewed		[]
一般|一般|yi1 ban1~2	一般|一般|yi1 ban1	2	defined	["副"]	["副"]	[]	[]	[]	表示大多數時候是這樣	表示大多数时候是这样	「一般」常說成「一般來說」，用在句子開頭。	「一般」常说成「一般来说」，用在句子开头。		[5, 6]	general	unreviewed		[]
一般|一般|yi1 ban1~3	一般|一般|yi1 ban1	3	defined	["形"]	["形"]	[]	[]	[]	表示兩者完全相同	表示两者完全相同				[0]	general	unreviewed		[]
一起|一起|yi1 qi3~1	一起|一起|yi1 qi3	1	defined	["副", "名"]	["副", "名"]	[]	[]	[]	在同一個地方，或共同做同一件事	在同一个地方，或共同做同一件事				[0, 1]	general	unreviewed		[]
一起|一起|yi1 qi3~2	一起|一起|yi1 qi3	2	defined	["副"]	["副"]	[]	[]	[]	合起來算，表示全部的數	合起来算，表示全部的数				[2]	general	unreviewed		[]
一起|一起|yi1 qi3~3	一起|一起|yi1 qi3	3	defined	["量"]	["量"]	[]	[]	[]	用在事故、案件等前面，表示一件	用在事故、案件等前面，表示一件				[3]	general	unreviewed		[]
一點|一点|yi1 dian3~1	一點|一点|yi1 dian3	1	defined	["數"]	["数"]	[]	[]	[]	表示數量少，多用在名詞前面	表示数量少，多用在名词前面	「一點也不」、「一點都不」表示完全不，如「他一點都不知道」。	「一点也不」、「一点都不」表示完全不，如「他一点都不知道」。		[0, 1]	general	unreviewed		[]
一點|一点|yi1 dian3~2	一點|一点|yi1 dian3	2	defined	["數"]	["数"]	[]	[]	[]	用在形容詞後面，表示程度增加一些	用在形容词后面，表示程度增加一些	常跟「比」連用，如「今天比昨天冷一點」。	常跟「比」连用，如「今天比昨天冷一点」。		[2]	general	unreviewed		[]
一點|一点|yi1 dian3~3	一點|一点|yi1 dian3	3	defined	["名"]	["名"]	["abbr"]	[]	[]	一點鐘的簡稱	一点钟的简称				[5]	abbreviation	unreviewed	edited	["E-yi1dian3-3"]
一點|一点|yi1 dian3~4	一點|一点|yi1 dian3	4	defined	["名"]	["名"]	[]	[]	[]	說話或討論中提到的一個方面	说话或讨论中提到的一个方面				[3]	general	unreviewed		[]
一點|一点|yi1 dian3~5	一點|一点|yi1 dian3	5	defined	["名"]	["名"]	[]	[]	[]	漢字的一種筆畫，寫成「、」	汉字的一种笔画，写成「、」				[4]	general	unreviewed		[]
七|七|qi1~1	七|七|qi1	1	defined	["數"]	["数"]	[]	[]	[]	數目，六加一	数目，六加一				[0, 1]	general	unreviewed		[]
丈夫|丈夫|zhang4 fu5~1	丈夫|丈夫|zhang4 fu5	1	defined	["名"]	["名"]	[]	[]	[]	結婚以後，妻子稱自己的男人	结婚以后，妻子称自己的男人	「老公」多用在口語，「丈夫」比較正式。	「老公」多用在口语，「丈夫」比较正式。		[0]	general	unreviewed		[]
三|三|san1~1	三|三|san1	1	defined	["數"]	["数"]	[]	[]	[]	數目，二加一	数目，二加一				[0, 1]	general	unreviewed		[]
三|三|san1~2	三|三|san1	2	defined	["數"]	["数"]	["bound-form"]	[]	[]	表示多次或多數，不是確定的數目	表示多次或多数，不是确定的数目	只用在幾個常見的說法裡，不能單獨這樣用。	只用在几个常见的说法里，不能单独这样用。		[]	general	unreviewed		[]
三十|三十|san1 shi2~1	三十|三十|san1 shi2	1	defined	["數"]	["数"]	[]	[]	[]	數目，等於三個十	数目，等于三个十				[0, 1]	general	unreviewed		[]
上|上|shang4~1	上|上|shang4	1	defined	["動"]	["动"]	[]	[]	[]	由低處到高處，或進入車、船	由低处到高处，或进入车、船				[2]	general	unreviewed		[]
上|上|shang4~2	上|上|shang4	2	defined	["動"]	["动"]	[]	[]	[]	按規定的時間去學習或工作	按规定的时间去学习或工作				[3]	general	unreviewed		[]
上|上|shang4~3	上|上|shang4	3	defined	["形"]	["形"]	["bound-form"]	[]	[]	位置或等級較高的	位置或等级较高的				[0]	bound-form	unreviewed		[]
上|上|shang4~4	上|上|shang4	4	defined	["形"]	["形"]	["bound-form"]	[]	[]	時間較早的，或排在前面的	时间较早的，或排在前面的				[0, 1]	bound-form	unreviewed		[]
上|上|shang4~5	上|上|shang4	5	defined	["補"]	["补"]	["function-word"]	[]	[]	用在動詞後面，表示動作向高處或有結果	用在动词后面，表示动作向高处或有结果	相反的方向用「下」，如「坐下」、「放下」。	相反的方向用「下」，如「坐下」、「放下」。		[4]	function-word	unreviewed	edited	["R57B-001"]
上|上|shang4~6	上|上|shang4	6	defined	["綴"]	["缀"]	["function-word"]	[]	[]	用在名詞後面，指物體的表面或一定的範圍	用在名词后面，指物体的表面或一定的范围	在內部要用「裡」，如「房間裡」，不用「上」。	在内部要用「里」，如「房间里」，不用「上」。		[5]	function-word	unreviewed		[]
上面|上面|shang4 mian4~1	上面|上面|shang4 mian4	1	defined	["名"]	["名"]	[]	[]	[]	位置較高的一邊，也指東西的表面	位置较高的一边，也指东西的表面				[0]	general	unreviewed		[]
上面|上面|shang4 mian4~2	上面|上面|shang4 mian4	2	defined	["名"]	["名"]	[]	[]	[]	文章或說話中前面提到的部分	文章或说话中前面提到的部分				[1]	general	unreviewed		[]
下|下|xia4~1	下|下|xia4	1	defined	["名"]	["名"]	[]	[]	[]	位置較低的地方，跟「上」相反	位置较低的地方，跟「上」相反				[0, 2, 3]	general	unreviewed		[]
下|下|xia4~2	下|下|xia4	2	defined	["形"]	["形"]	[]	[]	[]	時間在後的，或排在後面的	时间在后的，或排在后面的	「上次」指已經過去的那一次，「下次」指還沒有到的那一次。	「上次」指已经过去的那一次，「下次」指还没有到的那一次。		[4, 5, 6]	general	unreviewed		[]
下|下|xia4~3	下|下|xia4	3	defined	["動"]	["动"]	[]	[]	[]	從高的地方到低的地方去，也指離開車、船	从高的地方到低的地方去，也指离开车、船				[7, 8]	general	unreviewed		[]
下|下|xia4~4	下|下|xia4	4	defined	["動"]	["动"]	[]	[]	[]	雨、雪等從天上落到地上	雨、雪等从天上落到地上				[]	general	unreviewed		[]
下|下|xia4~5	下|下|xia4	5	defined	["動"]	["动"]	[]	[]	[]	作出決定，或發出命令等	作出决定，或发出命令等				[9]	general	unreviewed		[]
下|下|xia4~6	下|下|xia4	6	defined	["動"]	["动"]	["function-word"]	[]	[]	用在動詞後，表示動作由高到低或有了結果	用在动词后，表示动作由高到低或有了结果	常用在「坐下」「放下」「記下」「停下」等詞裡。	常用在「坐下」「放下」「记下」「停下」等词里。		[1]	general	unreviewed		[]
下|下|xia4~7	下|下|xia4	7	defined	["量"]	["量"]	[]	[]	[]	跟在數字後面，表示動作的次數	跟在数字后面，表示动作的次数	「一下」還可以表示動作時間短，例如「等一下」「看一下」。	「一下」还可以表示动作时间短，例如「等一下」「看一下」。		[10]	general	unreviewed		[]
下來|下来|xia4 lai5~1	下來|下来|xia4 lai5	1	defined	["動"]	["动"]	[]	[]	[]	從高處往低處，來到說話的人這裡	从高处往低处，来到说话的人这里				[0, 4]	general	unreviewed		[]
下來|下来|xia4 lai5~2	下來|下来|xia4 lai5	2	defined	["補"]	["补"]	["function-word"]	[]	[]	用在動詞後面，表示動作從高處向這邊	用在动词后面，表示动作从高处向这边	「下來」表示朝說話的人這邊，「下去」表示離開說話的人。	「下来」表示朝说话的人这边，「下去」表示离开说话的人。		[2, 6]	general	unreviewed	edited	["E-xia4lai5-2"]
下來|下来|xia4 lai5~3	下來|下来|xia4 lai5	3	defined	["補"]	["补"]	["function-word"]	[]	[]	用在動詞後面，表示動作完成，結果留下	用在动词后面，表示动作完成，结果留下				[1]	general	unreviewed	edited	["E-xia4lai5-3"]
下來|下来|xia4 lai5~4	下來|下来|xia4 lai5	4	defined	["補"]	["补"]	["function-word"]	[]	[]	用在動詞或一段時間後面，表示一直到現在	用在动词或一段时间后面，表示一直到现在				[3, 5]	general	unreviewed	edited	["E-xia4lai5-4"]
下午|下午|xia4 wu3~1	下午|下午|xia4 wu3	1	defined	["名"]	["名"]	[]	[]	[]	一天裡從中午到天黑的時間	一天里从中午到天黑的时间	「上午」指天亮到中午，「下午」指中午以後到天黑。	「上午」指天亮到中午，「下午」指中午以后到天黑。		[0, 1, 2]	general	unreviewed		[]
下降|下降|xia4 jiang4~1	下降|下降|xia4 jiang4	1	defined	["動"]	["动"]	[]	[]	[]	從高處落到低處，或水平變低	从高处落到低处，或水平变低	多用在溫度、價格、成績這些可以量出高低的事物上。	多用在温度、价格、成绩这些可以量出高低的事物上。		[0, 1, 2, 3, 4]	general	unreviewed		[]
下面|下面|xia4 mian4~1	下面|下面|xia4 mian4	1	defined	["名"]	["名"]	[]	[]	[]	位置比較低的地方	位置比较低的地方				[0, 1]	general	unreviewed		[]
下面|下面|xia4 mian4~2	下面|下面|xia4 mian4	2	defined	["名"]	["名"]	[]	[]	[]	文章或說話裡接下來的部分	文章或说话里接下来的部分				[2, 3]	general	unreviewed		[]
不久|不久|bu4 jiu3~1	不久|不久|bu4 jiu3	1	defined	["副"]	["副"]	[]	[]	[]	表示過了很短的時間	表示过了很短的时间	常用在「不久以後」、「不久前」這樣的說法裡。	常用在「不久以后」、「不久前」这样的说法里。		[0, 1, 2, 3]	general	unreviewed		[]
不僅|不仅|bu4 jin3~1	不僅|不仅|bu4 jin3	1	defined	["連"]	["连"]	["function-word"]	[]	[]	用在前一分句，表示不只是這樣	用在前一分句，表示不只是这样	後一分句常用「而且」「還」跟它呼應。「不僅」多用於書面，口語裡常說「不但」。	后一分句常用「而且」「还」跟它呼应。「不仅」多用于书面，口语里常说「不但」。		[0, 1]	function-word	unreviewed		[]
不再|不再|bu4 zai4~1	不再|不再|bu4 zai4	1	defined	["副"]	["副"]	[]	[]	[]	表示原來的情況以後不會繼續	表示原来的情况以后不会继续	常放在動詞前面，句子最後多帶一個「了」。	常放在动词前面，句子最后多带一个「了」。		[0]	general	unreviewed		[]
不到|不到|bu4 dao4~1	不到|不到|bu4 dao4	1	defined	["動"]	["动"]	[]	[]	[]	少於某個數目，沒有達到那麼多	少于某个数目，没有达到那么多				[1, 2, 3]	general	unreviewed		[]
不到|不到|bu4 dao4~2	不到|不到|bu4 dao4	2	defined	["動"]	["动"]	[]	[]	[]	沒有到達某個地方或時間	没有到达某个地方或时间				[0]	general	unreviewed		[]
不可|不可|bu4 ke3~1	不可|不可|bu4 ke3	1	defined	["副"]	["副"]	[]	[]	[]	表示不許這樣做或不應該這樣做	表示不许这样做或不应该这样做	常用在「非…不可」的句子裡，表示一定要這樣。這個說法多見於書面，口語常說「不能」。	常用在「非…不可」的句子里，表示一定要这样。这个说法多见于书面，口语常说「不能」。		[0]	general	unreviewed		[]
不同|不同|bu4 tong2~1	不同|不同|bu4 tong2	1	defined	["形"]	["形"]	[]	[]	[]	兩個或幾個事物在某方面不一樣的	两个或几个事物在某方面不一样的	「不同」常放在名詞前面，如「不同的意見」；「不一樣」多單用。	「不同」常放在名词前面，如「不同的意见」；「不一样」多单用。		[0, 1, 2, 3]	general	unreviewed		[]
不少|不少|bu4 shao3~1	不少|不少|bu4 shao3	1	defined	["形"]	["形"]	[]	[]	[]	數量或程度相當多的	数量或程度相当多的	「不少」雖然帶「不」，意思卻是多，不是少。	「不少」虽然带「不」，意思却是多，不是少。		[0]	general	unreviewed		[]
不得不|不得不|bu4 de2 bu4~1	不得不|不得不|bu4 de2 bu4	1	defined	["副"]	["副"]	[]	[]	[]	表示沒有別的辦法，只能這樣做	表示没有别的办法，只能这样做	「不得不」是兩個「不」，意思是一定要做。	「不得不」是两个「不」，意思是一定要做。		[0, 1, 2, 3, 4]	general	unreviewed		[]
不斷|不断|bu4 duan4~1	不斷|不断|bu4 duan4	1	defined	["副"]	["副"]	[]	[]	[]	連續進行，中間沒有停下來	连续进行，中间没有停下来	「不斷」多指同樣的事一次又一次地發生，「一直」多指從頭到尾都這樣。	「不断」多指同样的事一次又一次地发生，「一直」多指从头到尾都这样。		[0, 1, 2, 3]	general	unreviewed		[]
不是|不是|bu4 shi4~1	不是|不是|bu4 shi4	1	defined	["動"]	["动"]	["function-word"]	[]	[]	用在句中否定判斷，表示所說的不對	用在句中否定判断，表示所说的不对	「不是」否定判斷和性質，「沒有」否定已經發生的事。	「不是」否定判断和性质，「没有」否定已经发生的事。		[0, 1, 2]	general	unreviewed		[]
不是|不是|bu4 shi5~1	不是|不是|bu4 shi5	1	defined	["名"]	["名"]	[]	["coll"]	[]	做得不對的地方，過錯	做得不对的地方，过错	多用在「賠不是」、「落個不是」這類說法裡。	多用在「赔不是」、「落个不是」这类说法里。		[0]	general	unreviewed		[]
不會|不会|bu4 hui4~1	不會|不会|bu4 hui4	1	defined	["動"]	["动"]	[]	[]	[]	沒有學過，做不了某件事	没有学过，做不了某件事				[3, 4]	general	unreviewed		[]
不會|不会|bu4 hui4~2	不會|不会|bu4 hui4	2	defined	["動"]	["动"]	[]	[]	[]	表示事情不太可能發生	表示事情不太可能发生				[0, 1, 2]	general	unreviewed		[]
不會|不会|bu4 hui4~3	不會|不会|bu4 hui4	3	defined	["動"]	["动"]	[]	["coll"]	["tw"]	回答別人的感謝，表示不用放在心上	回答别人的感谢，表示不用放在心上				[5, 6]	general	unreviewed		[]
不用|不用|bu4 yong4~1	不用|不用|bu4 yong4	1	defined	["副"]	["副"]	[]	[]	[]	表示沒有必要做某件事	表示没有必要做某件事	「不用」是沒有必要，「不要」是叫人別做。	「不用」是没有必要，「不要」是叫人别做。		[0]	general	unreviewed		[]
不知|不知|bu4 zhi1~1	不知|不知|bu4 zhi1	1	defined	["動"]	["动"]	[]	[]	[]	對某人或某件事沒有了解	对某人或某件事没有了解	「不知」後面常接「為什麼」、「怎麼」這樣的說法。但回答問題時一般說「不知道」。	「不知」后面常接「为什么」、「怎么」这样的说法。但回答问题时一般说「不知道」。		[0, 1, 2]	general	unreviewed		[]
不知|不知|bu4 zhi1~2	不知|不知|bu4 zhi1	2	defined	["動"]	["动"]	[]	[]	[]	不覺得累，也不怕困難和失敗	不觉得累，也不怕困难和失败	常接「疲倦」、「困難」等詞語。	常接「疲倦」、「困难」等词语。		[3]	general	unreviewed		[]
不能|不能|bu4 neng2~1	不能|不能|bu4 neng2	1	defined	["動"]	["动"]	[]	[]	[]	沒有能力或條件做某件事	没有能力或条件做某件事	「不會」多指沒學過、不懂，「不能」多指沒有條件或不被允許。	「不会」多指没学过、不懂，「不能」多指没有条件或不被允许。		[0]	general	unreviewed		[]
不能|不能|bu4 neng2~2	不能|不能|bu4 neng2	2	defined	["動"]	["动"]	[]	[]	[]	不被允許或不應該做某件事	不被允许或不应该做某件事				[1, 2]	general	unreviewed		[]
不要|不要|bu4 yao4~1	不要|不要|bu4 yao4	1	defined	["副"]	["副"]	[]	[]	[]	用在動詞前面，表示叫人別做某事	用在动词前面，表示叫人别做某事	「別」跟「不要」意思相同，口語裡更常說「別」。	「别」跟「不要」意思相同，口语里更常说「别」。		[0]	general	unreviewed		[]
不過|不过|bu4 guo4~1	不過|不过|bu4 guo4	1	defined	["連"]	["连"]	[]	[]	[]	用在後一句的開頭，引出相反的意思	用在后一句的开头，引出相反的意思	「不過」的語氣比「但是」輕，說話時用得更多。	「不过」的语气比「但是」轻，说话时用得更多。		[3, 4, 5]	general	unreviewed		[]
不過|不过|bu4 guo4~2	不過|不过|bu4 guo4	2	defined	["副"]	["副"]	[]	[]	[]	表示只有這麼多，並不算多	表示只有这么多，并不算多				[0, 1, 2]	general	unreviewed		[]
不過|不过|bu4 guo4~3	不過|不过|bu4 guo4	3	defined	["副"]	["副"]	[]	[]	[]	用在「再…」後面，表示程度到了最高	用在「再…」后面，表示程度到了最高				[6]	general	unreviewed		[]
且|且|qie3~1	且|且|qie3	1	defined	["連"]	["连"]	["function-word"]	["lit"]	[]	用在兩個詞語或句子中間，表示並列或更進一步	用在两个词语或句子中间，表示并列或更进一步	「且」多用於書面，口語裡常說「而且」或「並且」。	「且」多用于书面，口语里常说「而且」或「并且」。		[0, 1, 2]	function-word	unreviewed		[]
且|且|qie3~2	且|且|qie3	2	defined	["副"]	["副"]	["function-word"]	["lit"]	[]	用在動詞前面，表示先這樣做，以後再說	用在动词前面，表示先这样做，以后再说	「且」多用在書面，口語裡多說「先」，如「你先等一下」。	「且」多用在书面，口语里多说「先」，如「你先等一下」。		[3]	function-word	unreviewed		[]
且|且|qie3~3	且|且|qie3	3	defined	["副"]	["副"]	["function-word"]	["lit"]	[]	用在兩個動詞前面，表示兩個動作同時進行	用在两个动词前面，表示两个动作同时进行	這種用法多見於書面，口語常說「一邊…一邊…」。	这种用法多见于书面，口语常说「一边…一边…」。		[5]	function-word	unreviewed		[]
且|且|qie3~4	且|且|qie3	4	defined	["副"]	["副"]	["function-word"]	["arch"]	[]	用在動詞前面，表示動作就要發生	用在动词前面，表示动作就要发生	這個用法只見於古書，現在多說「將要」。	这个用法只见于古书，现在多说「将要」。	archaic-form	[4]	function-word	unreviewed		[]
世|世|shi4~1	世|世|shi4	1	defined	["名"]	["名"]	["bound-form"]	[]	[]	人們共同生活的地方	人们共同生活的地方				[4]	general	unreviewed		[]
世|世|shi4~2	世|世|shi4	2	defined	["名"]	["名"]	["bound-form"]	[]	[]	歷史上一段較長的時期	历史上一段较长的时期				[1, 3, 6]	general	unreviewed		[]
世|世|shi4~3	世|世|shi4	3	defined	["名"]	["名"]	["bound-form"]	[]	[]	家族中上下相接的一代	家族中上下相接的一代				[2, 7, 8]	general	unreviewed		[]
世|世|shi4~4	世|世|shi4	4	defined	["名"]	["名"]	["bound-form"]	[]	[]	人從生到死的一段時間	人从生到死的一段时间				[0, 5]	general	unreviewed		[]
世紀|世纪|shi4 ji4~1	世紀|世纪|shi4 ji4	1	defined	["名"]	["名"]	[]	[]	[]	一百年，計算年代的單位	一百年，计算年代的单位				[0]	general	unreviewed		[]
並且|并且|bing4 qie3~1	並且|并且|bing4 qie3	1	defined	["連"]	["连"]	["function-word"]	[]	[]	連接兩個動作或小句，表示更進一步	连接两个动作或小句，表示更进一步	「和」只能連接名詞，不能像「並且」那樣連接小句。口語裡更常說「而且」。	「和」只能连接名词，不能像「并且」那样连接小句。口语里更常说「而且」。		[0]	general	unreviewed		[]
並非|并非|bing4 fei1~1	並非|并非|bing4 fei1	1	defined	["副"]	["副"]	["function-word"]	["lit"]	[]	用在說明的前面，表示不是這樣	用在说明的前面，表示不是这样	多用在書面，常跟「而是」一起用。	多用在书面，常跟「而是」一起用。		[0]	general	unreviewed		[]
中|中|zhong4~1	中|中|zhong4	1	defined	["動"]	["动"]	[]	[]	[]	正好打到或對上目標，多指達到目的	正好打到或对上目标，多指达到目的	常用在動詞後面，如「猜中」、「打中」、「選中」。	常用在动词后面，如「猜中」、「打中」、「选中」。		[0, 2]	general	unreviewed		[]
中|中|zhong4~2	中|中|zhong4	2	defined	["動"]	["动"]	[]	[]	[]	受到槍彈、疾病等的傷害	受到枪弹、疾病等的伤害	常見的說法有「中彈」、「中毒」、「中暑」等。	常见的说法有「中弹」、「中毒」、「中暑」等。		[1]	general	unreviewed		[]
中央|中央|zhong1 yang1~1	中央|中央|zhong1 yang1	1	defined	["名"]	["名"]	[]	[]	[]	一定範圍裡正中間的地方	一定范围里正中间的地方				[0, 1, 2]	general	unreviewed		[]
中央|中央|zhong1 yang1~2	中央|中央|zhong1 yang1	2	defined	["名"]	["名"]	[]	[]	[]	國家最高的領導機構	国家最高的领导机构	「中央」常跟「地方」相對，例如「中央政府」和「地方政府」。	「中央」常跟「地方」相对，例如「中央政府」和「地方政府」。		[3]	general	unreviewed		[]
中學|中学|zhong1 xue2~1	中學|中学|zhong1 xue2	1	defined	["名"]	["名"]	[]	[]	[]	小學之後、大學之前的學校	小学之后、大学之前的学校	學生一般十二歲左右進中學，讀六年。	学生一般十二岁左右进中学，读六年。		[0]	general	unreviewed		[]
中心|中心|zhong1 xin1~1	中心|中心|zhong1 xin1	1	defined	["名"]	["名"]	[]	[]	[]	跟周圍距離相等的地方	跟周围距离相等的地方				[0]	general	unreviewed		[]
中心|中心|zhong1 xin1~2	中心|中心|zhong1 xin1	2	defined	["名"]	["名"]	[]	[]	[]	事物中最主要、最重要的部分	事物中最主要、最重要的部分				[0]	general	unreviewed		[]
中心|中心|zhong1 xin1~3	中心|中心|zhong1 xin1	3	defined	["名"]	["名"]	[]	[]	[]	提供某種服務的機構或地方	提供某种服务的机构或地方				[]	general	unreviewed		[]
中間|中间|zhong1 jian1~1	中間|中间|zhong1 jian1	1	defined	["名"]	["名"]	[]	[]	[]	兩者之間或正中的地方	两者之间或正中的地方				[0, 1]	general	unreviewed		[]
中間|中间|zhong1 jian1~2	中間|中间|zhong1 jian1	2	defined	["名"]	["名"]	[]	[]	[]	一段時間或一件事進行的過程當中	一段时间或一件事进行的过程当中				[2]	general	unreviewed		[]
丹|丹|dan1~1	丹|丹|dan1	1	defined	["形"]	["形"]	["bound-form"]	["lit"]	[]	顏色像火那樣紅的	颜色像火那样红的				[0]	general	unreviewed		[]
丹|丹|dan1~2	丹|丹|dan1	2	defined	["名"]	["名"]	["bound-form"]	[]	[]	製成小顆粒或粉狀的中藥	制成小颗粒或粉状的中药				[1, 2]	general	unreviewed		[]
丹|丹|dan1~3	丹|丹|dan1	3	defined	["名"]	["名"]	["bound-form"]	[]	[]	一種紅色的石頭，可做藥或顏料	一种红色的石头，可做药或颜料				[3]	general	unreviewed		[]
主|主|zhu3~1	主|主|zhu3	1	defined	["名"]	["名"]	["bound-form"]	[]	[]	擁有某件東西的人	拥有某件东西的人				[0, 1]	general	unreviewed		[]
主|主|zhu3~2	主|主|zhu3	2	defined	["形"]	["形"]	[]	[]	[]	在同類事物中最重要的	在同类事物中最重要的	常說「以…為主」，指哪一部分佔得最多。	常说「以…为主」，指哪一部分占得最多。		[6]	general	unreviewed		[]
主|主|zhu3~3	主|主|zhu3	3	defined	["名"]	["名"]	["bound-form"]	[]	[]	請客人來的一方，跟「客」相對	请客人来的一方，跟「客」相对				[2]	general	unreviewed		[]
主|主|zhu3~4	主|主|zhu3	4	defined	["動"]	["动"]	["bound-form"]	[]	[]	負責辦理，也有決定的權力	负责办理，也有决定的权力				[]	general	unreviewed		[]
主|主|zhu3~5	主|主|zhu3	5	defined	["名"]	["名"]	["bound-form"]	[]	[]	跟某件事直接有關的那個人	跟某件事直接有关的那个人				[3]	general	unreviewed		[]
