entry_id	trad	simp	pinyin	content_status	rank	zipf_subtlex	review_status	adjudication	batch	prov_id
事件|事件|shi4 jian4	事件	事件	shi4 jian4	generated	858	4.917	unreviewed		wave1-02	154
事實|事实|shi4 shi2	事實	事实	shi4 shi2	generated	559	5.176	unreviewed		wave1-06	143
事實上|事实上|shi4 shi2 shang4	事實上	事实上	shi4 shi2 shang4	generated	521	5.212	unreviewed		wave1-05	132
事情|事情|shi4 qing5	事情	事情	shi4 qing5	generated	165	5.924	unreviewed		wave1-05	132
事故|事故|shi4 gu4	事故	事故	shi4 gu4	generated	1286	4.632	unreviewed		wave1-07	120
事業|事业|shi4 ye4	事業	事业	shi4 ye4	generated	1198	4.688	unreviewed		wave1-05	132
二|二|er4	二	二	er4	generated	579	5.16	unreviewed		wave1-01	93
二十|二十|er4 shi2	二十	二十	er4 shi2	generated	1903	4.265	unreviewed		wave1-06	143
互相|互相|hu4 xiang1	互相	互相	hu4 xiang1	generated	1176	4.702	unreviewed		wave1-06	143
五|五|wu3	五	五	wu3	generated	493	5.245	unreviewed		wave1-01	93
井|井|jing3	井	井	jing3	generated	2040	4.154	unreviewed		wave1-09	101
些|些|xie1	些	些	xie1	generated	201	5.802	unreviewed		wave1-05	128
亞|亚|ya4	亞	亚	ya4	generated	1075	4.761	unreviewed		wave1-02	154
交|交|jiao1	交	交	jiao1	generated	708	5.032	unreviewed		wave1-04	45
交換|交换|jiao1 huan4	交換	交换	jiao1 huan4	generated	1582	4.462	unreviewed		wave1-08	68
交易|交易|jiao1 yi4	交易	交易	jiao1 yi4	generated	837	4.931	unreviewed		wave1-05	132
交流|交流|jiao1 liu2	交流	交流	jiao1 liu2	generated	1575	4.466	unreviewed		wave1-07	120
交通|交通|jiao1 tong1	交通	交通	jiao1 tong1	generated	1590	4.456	unreviewed		wave1-05	132
亮|亮|liang4	亮	亮	liang4	generated	1435	4.541	unreviewed		wave1-07	120
人們|人们|ren2 men5	人們	人们	ren2 men5	generated	384	5.377	unreviewed		wave1-02	154
人口|人口|ren2 kou3	人口	人口	ren2 kou3	generated	1957	4.219	unreviewed		wave1-06	143
人員|人员|ren2 yuan2	人員	人员	ren2 yuan2	generated	854	4.919	unreviewed		wave1-03	167
人士|人士|ren2 shi4	人士	人士	ren2 shi4	generated	1930	4.247	unreviewed		wave1-07	120
人數|人数|ren2 shu4	人數	人数	ren2 shu4	generated	2067	4.126	unreviewed		wave1-09	101
人民|人民|ren2 min2	人民	人民	ren2 min2	generated	1189	4.695	unreviewed		wave1-03	167
人物|人物|ren2 wu4	人物	人物	ren2 wu4	generated	1054	4.778	unreviewed		wave1-03	35
人生|人生|ren2 sheng1	人生	人生	ren2 sheng1	generated	840	4.93	unreviewed		wave1-07	120
人類|人类|ren2 lei4	人類	人类	ren2 lei4	generated	670	5.061	unreviewed		wave1-02	154
什|什|shen2	什	什	shen2	generated	1243	4.659	unreviewed		wave1-05	132
什|什|shi2	什	什	shi2	generated	1244	4.659	unreviewed		wave1-05	58
什麼|什么|shen2 me5	什麼	什么	shen2 me5	generated	23	6.848	unreviewed		wave1-04	176
今|今|jin1	今	今	jin1	generated	1279	4.635	unreviewed		wave1-03	167
今天|今天|jin1 tian1	今天	今天	jin1 tian1	generated	182	5.868	unreviewed		wave1-03	167
介紹|介绍|jie4 shao4	介紹	介绍	jie4 shao4	generated	893	4.886	unreviewed		wave1-05	132
仍|仍|reng2	仍	仍	reng2	generated	1100	4.75	unreviewed		wave1-03	167
仍然|仍然|reng2 ran2	仍然	仍然	reng2 ran2	generated	817	4.94	unreviewed		wave1-03	35
仔|仔|zai3	仔	仔	zai3	generated	1840	4.3	unreviewed		wave1-08	104
仔|仔|zi3	仔	仔	zi3	generated	1841	4.3	unreviewed		wave1-08	105
他|他|ta1	他	他	ta1	generated	12	7.074	unreviewed		wave1-01	5
他人|他人|ta1 ren2	他人	他人	ta1 ren2	generated	1685	4.401	unreviewed		wave1-09	71
他們|他们|ta1 men5	他們	他们	ta1 men5	generated	39	6.622	unreviewed		wave1-01	12
代|代|dai4	代	代	dai4	generated	1354	4.594	unreviewed		wave1-04	176
代表|代表|dai4 biao3	代表	代表	dai4 biao3	generated	714	5.029	unreviewed		wave1-02	154
令|令|ling3	令	令	ling3	generated	461	5.282	unreviewed		wave1-02	151
令|令|ling4	令	令	ling4	generated	460	5.282	unreviewed		wave1-02	184
以|以|yi3	以	以	yi3	generated	272	5.591	unreviewed		wave1-01	12
以上|以上|yi3 shang4	以上	以上	yi3 shang4	generated	1985	4.199	unreviewed		wave1-07	120
以下|以下|yi3 xia4	以下	以下	yi3 xia4	generated	1824	4.307	unreviewed		wave1-06	143
以來|以来|yi3 lai2	以來	以来	yi3 lai2	generated	1211	4.68	unreviewed		wave1-04	174
以前|以前|yi3 qian2	以前	以前	yi3 qian2	generated	278	5.567	unreviewed		wave1-02	154
以及|以及|yi3 ji2	以及	以及	yi3 ji2	generated	709	5.032	unreviewed		wave1-02	154
以外|以外|yi3 wai4	以外	以外	yi3 wai4	generated	1732	4.375	unreviewed		wave1-06	141
以後|以后|yi3 hou4	以後	以后	yi3 hou4	generated	362	5.414	unreviewed		wave1-02	154
以為|以为|yi3 wei2	以為	以为	yi3 wei2	generated	237	5.694	unreviewed		wave1-04	176
件|件|jian4	件	件	jian4	generated	215	5.766	unreviewed		wave1-02	150
任|任|ren4	任	任	ren4	generated	1620	4.437	unreviewed		wave1-04	43
任何|任何|ren4 he2	任何	任何	ren4 he2	generated	250	5.648	unreviewed		wave1-01	93
任務|任务|ren4 wu5	任務	任务	ren4 wu5	generated	571	5.167	unreviewed		wave1-03	167
份|份|fen4	份	份	fen4	generated	329	5.481	unreviewed		wave1-01	88
企業|企业|qi3 ye4	企業	企业	qi3 ye4	generated	2081	4.107	unreviewed		wave1-08	111
伊|伊|yi1	伊	伊	yi1	generated	1511	4.503	unreviewed		wave1-04	37
伯|伯|bai3	伯	伯	bai3	generated	2051	4.145	unreviewed		wave1-07	120
伯|伯|bo2	伯	伯	bo2	generated	2050	4.145	unreviewed		wave1-07	120
估計|估计|gu1 ji4	估計	估计	gu1 ji4	generated	1141	4.717	unreviewed		wave1-05	132
似乎|似乎|si4 hu1	似乎	似乎	si4 hu1	generated	772	4.974	unreviewed		wave1-06	143
但|但|dan4	但	但	dan4	generated	78	6.308	unreviewed		wave1-01	12
但是|但是|dan4 shi4	但是	但是	dan4 shi4	generated	96	6.196	unreviewed		wave1-01	12
佈|布|bu4	佈	布	bu4	generated	1239	4.663	unreviewed		wave1-03	166
位|位|wei4	位	位	wei4	generated	239	5.688	unreviewed		wave1-01	8
位於|位于|wei4 yu2	位於	位于	wei4 yu2	generated	2105	4.073	unreviewed		wave1-07	120
位置|位置|wei4 zhi5	位置	位置	wei4 zhi5	generated	764	4.987	unreviewed		wave1-03	167
低|低|di1	低	低	di1	generated	1117	4.734	unreviewed		wave1-03	167
住|住|zhu4	住	住	zhu4	generated	214	5.767	unreviewed		wave1-02	184
何|何|he2	何	何	he2	generated	1235	4.665	unreviewed		wave1-04	176
作|作|zuo1	作	作	zuo1	generated	609	5.128	unreviewed		wave1-02	148
作|作|zuo4	作	作	zuo4	generated	608	5.128	unreviewed		wave1-02	154
作出|作出|zuo4 chu1	作出	作出	zuo4 chu1	generated	1792	4.335	unreviewed		wave1-08	111
作品|作品|zuo4 pin3	作品	作品	zuo4 pin3	generated	1222	4.672	unreviewed		wave1-03	167
作家|作家|zuo4 jia1	作家	作家	zuo4 jia1	generated	1564	4.473	unreviewed		wave1-05	132
作戰|作战|zuo4 zhan4	作戰	作战	zuo4 zhan4	generated	2059	4.137	unreviewed		wave1-09	101
作為|作为|zuo4 wei2	作為	作为	zuo4 wei2	generated	498	5.243	unreviewed		wave1-01	93
作用|作用|zuo4 yong4	作用	作用	zuo4 yong4	generated	1145	4.715	unreviewed		wave1-03	164
作者|作者|zuo4 zhe3	作者	作者	zuo4 zhe3	generated	2060	4.136	unreviewed		wave1-09	101
你|你|ni3	你	你	ni3	generated	6	7.598	unreviewed		wave1-01	93
你們|你们|ni3 men5	你們	你们	ni3 men5	generated	53	6.527	unreviewed		wave1-07	120
使|使|shi3	使	使	shi3	generated	572	5.166	unreviewed		wave1-01	2
使得|使得|shi3 de5	使得	使得	shi3 de5	generated	2056	4.142	unreviewed		wave1-07	120
使用|使用|shi3 yong4	使用	使用	shi3 yong4	generated	796	4.954	unreviewed		wave1-02	154
來|来|lai2	來	来	lai2	generated	32	6.742	unreviewed		wave1-01	26
來到|来到|lai2 dao4	來到	来到	lai2 dao4	generated	747	4.998	unreviewed		wave1-05	132
來源|来源|lai2 yuan2	來源	来源	lai2 yuan2	generated	1918	4.253	unreviewed		wave1-07	120
來自|来自|lai2 zi4	來自	来自	lai2 zi4	generated	612	5.124	unreviewed		wave1-02	154
例如|例如|li4 ru2	例如	例如	li4 ru2	generated	2077	4.115	unreviewed		wave1-07	120
供|供|gong1	供	供	gong1	generated	1637	4.428	unreviewed		wave1-06	143
供|供|gong4	供	供	gong4	generated	1638	4.428	unreviewed		wave1-06	60
依|依|yi1	依	依	yi1	generated	2057	4.142	unreviewed		wave1-08	111
依然|依然|yi1 ran2	依然	依然	yi1 ran2	generated	1665	4.414	unreviewed		wave1-08	111
便|便|bian4	便	便	bian4	generated	939	4.851	unreviewed		wave1-02	154
係|系|xi4	係	系	xi4	generated	1549	4.479	unreviewed		wave1-04	176
保|保|bao3	保	保	bao3	generated	1461	4.527	unreviewed		wave1-05	132
保存|保存|bao3 cun2	保存	保存	bao3 cun2	generated	1943	4.236	unreviewed		wave1-09	101
保持|保持|bao3 chi2	保持	保持	bao3 chi2	generated	540	5.186	unreviewed		wave1-03	167
保留|保留|bao3 liu2	保留	保留	bao3 liu2	generated	1639	4.428	unreviewed		wave1-06	143
保證|保证|bao3 zheng4	保證	保证	bao3 zheng4	generated	395	5.35	unreviewed		wave1-05	132
保護|保护|bao3 hu4	保護	保护	bao3 hu4	generated	415	5.325	unreviewed		wave1-02	154
信|信|xin4	信	信	xin4	generated	398	5.347	unreviewed		wave1-02	154
信仰|信仰|xin4 yang3	信仰	信仰	xin4 yang3	generated	1333	4.607	unreviewed		wave1-05	132
信任|信任|xin4 ren4	信任	信任	xin4 ren4	generated	732	5.011	unreviewed		wave1-09	101
信息|信息|xin4 xi1	信息	信息	xin4 xi1	generated	694	5.045	unreviewed		wave1-03	167
信號|信号|xin4 hao4	信號	信号	xin4 hao4	generated	963	4.827	unreviewed		wave1-06	143
修|修|xiu1	修	修	xiu1	generated	1108	4.74	unreviewed		wave1-04	176
俱樂部|俱乐部|ju4 le4 bu4	俱樂部	俱乐部	ju4 le4 bu4	generated	956	4.839	unreviewed		wave1-06	144
個人|个人|ge4 ren2	個人	个人	ge4 ren2	generated	712	5.03	unreviewed		wave1-02	154
倍|倍|bei4	倍	倍	bei4	generated	1266	4.641	unreviewed		wave1-05	132
們|们|men5	們	们	men5	generated	124	6.076	unreviewed		wave1-01	93
倒|倒|dao3	倒	倒	dao3	generated	482	5.259	unreviewed		wave1-07	120
倒|倒|dao4	倒	倒	dao4	generated	483	5.259	unreviewed		wave1-07	120
借|借|jie4	借	借	jie4	generated	770	4.977	unreviewed		wave1-07	120
倫|伦|lun2	倫	伦	lun2	generated	2019	4.178	unreviewed		wave1-07	120
值|值|zhi2	值	值	zhi2	generated	1267	4.641	unreviewed		wave1-04	176
值得|值得|zhi2 de5	值得	值得	zhi2 de5	generated	791	4.956	unreviewed		wave1-08	111
假|假|jia3	假	假	jia3	generated	754	4.994	unreviewed		wave1-06	143
假|假|jia4	假	假	jia4	generated	755	4.994	unreviewed		wave1-06	143
假設|假设|jia3 she4	假設	假设	jia3 she4	generated	1467	4.525	unreviewed		wave1-07	120
偉大|伟大|wei3 da4	偉大	伟大	wei3 da4	generated	912	4.873	unreviewed		wave1-06	143
做|做|zuo4	做	做	zuo4	generated	48	6.562	unreviewed		wave1-01	93
做出|做出|zuo4 chu1	做出	做出	zuo4 chu1	generated	981	4.821	unreviewed		wave1-05	132
停|停|ting2	停	停	ting2	generated	354	5.43	unreviewed		wave1-05	132
停止|停止|ting2 zhi3	停止	停止	ting2 zhi3	generated	841	4.93	unreviewed		wave1-04	176
健康|健康|jian4 kang1	健康	健康	jian4 kang1	generated	1000	4.81	unreviewed		wave1-05	132
側|侧|ce4	側	侧	ce4	generated	1861	4.288	unreviewed		wave1-08	111
側|侧|zhai1	側	侧	zhai1	generated	1862	4.288	unreviewed		wave1-08	111
偵探|侦探|zhen1 tan4	偵探	侦探	zhen1 tan4	generated	1105	4.746	unreviewed		wave1-08	111
偶像|偶像|ou3 xiang4	偶像	偶像	ou3 xiang4	generated	1103	4.747	unreviewed		wave1-06	143
傳|传|chuan2	傳	传	chuan2	generated	1011	4.803	unreviewed		wave1-03	167
傳|传|zhuan4	傳	传	zhuan4	generated	1012	4.803	unreviewed		wave1-03	167
傳統|传统|chuan2 tong3	傳統	传统	chuan2 tong3	generated	1372	4.578	unreviewed		wave1-04	176
傳說|传说|chuan2 shuo1	傳說	传说	chuan2 shuo1	generated	1726	4.377	unreviewed		wave1-07	120
傷|伤|shang1	傷	伤	shang1	generated	594	5.147	unreviewed		wave1-06	143
傷害|伤害|shang1 hai4	傷害	伤害	shang1 hai4	generated	512	5.218	unreviewed		wave1-07	120
僅|仅|jin3	僅	仅	jin3	generated	1201	4.686	unreviewed		wave1-03	165
像|像|xiang4	像	像	xiang4	generated	105	6.175	unreviewed		wave1-01	93
價值|价值|jia4 zhi2	價值	价值	jia4 zhi2	generated	1174	4.704	unreviewed		wave1-05	132
價格|价格|jia4 ge2	價格	价格	jia4 ge2	generated	1876	4.28	unreviewed		wave1-08	111
儀式|仪式|yi2 shi4	儀式	仪式	yi2 shi4	generated	1517	4.498	unreviewed		wave1-06	143
億|亿|yi4	億	亿	yi4	generated	1830	4.304	unreviewed		wave1-05	132
儘管|尽管|jin3 guan3	儘管	尽管	jin3 guan3	generated	879	4.899	unreviewed		wave1-03	165
優勢|优势|you1 shi4	優勢	优势	you1 shi4	generated	1878	4.277	unreviewed		wave1-08	111
優秀|优秀|you1 xiu4	優秀	优秀	you1 xiu4	generated	1303	4.624	unreviewed		wave1-08	111
允許|允许|yun3 xu3	允許	允许	yun3 xu3	generated	867	4.911	unreviewed		wave1-04	176
元|元|yuan2	元	元	yuan2	generated	1072	4.763	unreviewed		wave1-02	180
元素|元素|yuan2 su4	元素	元素	yuan2 su4	generated	2129	4.005	unreviewed		wave1-09	101
兄弟|兄弟|xiong1 di4	兄弟	兄弟	xiong1 di4	generated	368	5.41	unreviewed		wave1-03	167
充滿|充满|chong1 man3	充滿	充满	chong1 man3	generated	967	4.826	unreviewed		wave1-07	120
先|先|xian1	先	先	xian1	generated	241	5.68	unreviewed		wave1-02	152
先生|先生|xian1 sheng5	先生	先生	xian1 sheng5	generated	108	6.145	unreviewed		wave1-03	167
光|光|guang1	光	光	guang1	generated	684	5.052	unreviewed		wave1-02	154
克|克|ke4	克	克	ke4	generated	640	5.09	unreviewed		wave1-01	93
免費|免费|mian3 fei4	免費	免费	mian3 fei4	generated	1164	4.708	unreviewed		wave1-06	143
兒|儿|er2	兒	儿	er2	generated	446	5.292	unreviewed		wave1-03	167
兒子|儿子|er2 zi5	兒子	儿子	er2 zi5	generated	308	5.52	unreviewed		wave1-03	167
兒童|儿童|er2 tong2	兒童	儿童	er2 tong2	generated	1364	4.584	unreviewed		wave1-05	132
入|入|ru4	入	入	ru4	generated	896	4.884	unreviewed		wave1-02	178
入侵|入侵|ru4 qin1	入侵	入侵	ru4 qin1	generated	1833	4.303	unreviewed		wave1-07	120
內|内|nei4	內	内	nei4	generated	457	5.283	unreviewed		wave1-01	93
內容|内容|nei4 rong2	內容	内容	nei4 rong2	generated	1347	4.599	unreviewed		wave1-04	176
內部|内部|nei4 bu4	內部	内部	nei4 bu4	generated	1547	4.48	unreviewed		wave1-05	132
全|全|quan2	全	全	quan2	generated	390	5.36	unreviewed		wave1-01	93
全世界|全世界|quan2 shi4 jie4	全世界	全世界	quan2 shi4 jie4	generated	1448	4.535	unreviewed		wave1-08	111
全國|全国|quan2 guo2	全國	全国	quan2 guo2	generated	1442	4.538	unreviewed		wave1-04	176
全球|全球|quan2 qiu2	全球	全球	quan2 qiu2	generated	1736	4.372	unreviewed		wave1-05	132
全部|全部|quan2 bu4	全部	全部	quan2 bu4	generated	702	5.035	unreviewed		wave1-03	167
全面|全面|quan2 mian4	全面	全面	quan2 mian4	generated	2075	4.118	unreviewed		wave1-09	101
八|八|ba1	八	八	ba1	generated	1027	4.794	unreviewed		wave1-02	154
公|公|gong1	公	公	gong1	generated	2053	4.144	unreviewed		wave1-07	120
公主|公主|gong1 zhu3	公主	公主	gong1 zhu3	generated	1400	4.56	unreviewed		wave1-06	143
公共|公共|gong1 gong4	公共	公共	gong1 gong4	generated	1727	4.377	unreviewed		wave1-06	143
公園|公园|gong1 yuan2	公園	公园	gong1 yuan2	generated	987	4.818	unreviewed		wave1-03	167
公民|公民|gong1 min2	公民	公民	gong1 min2	generated	1795	4.331	unreviewed		wave1-07	120
公眾|公众|gong1 zhong4	公眾	公众	gong1 zhong4	generated	1686	4.4	unreviewed		wave1-07	120
公路|公路|gong1 lu4	公路	公路	gong1 lu4	generated	1609	4.448	unreviewed		wave1-05	132
公里|公里|gong1 li3	公里	公里	gong1 li3	generated	1964	4.212	unreviewed		wave1-06	143
公開|公开|gong1 kai1	公開	公开	gong1 kai1	generated	1579	4.465	unreviewed		wave1-05	132
六|六|liu4	六	六	liu4	generated	666	5.065	unreviewed		wave1-02	154
共|共|gong4	共	共	gong4	generated	1274	4.639	unreviewed		wave1-03	30
共同|共同|gong4 tong2	共同	共同	gong4 tong2	generated	1602	4.452	unreviewed		wave1-05	132
兵|兵|bing1	兵	兵	bing1	generated	1658	4.418	unreviewed		wave1-05	132
其|其|qi2	其	其	qi2	generated	784	4.964	unreviewed		wave1-02	154
其中|其中|qi2 zhong1	其中	其中	qi2 zhong1	generated	603	5.137	unreviewed		wave1-01	93
其他|其他|qi2 ta1	其他	其他	qi2 ta1	generated	258	5.626	unreviewed		wave1-01	12
其它|其它|qi2 ta1	其它	其它	qi2 ta1	generated	971	4.825	unreviewed		wave1-04	176
其實|其实|qi2 shi2	其實	其实	qi2 shi2	generated	420	5.324	unreviewed		wave1-04	176
具|具|ju4	具	具	ju4	generated	1159	4.711	unreviewed		wave1-04	172
具有|具有|ju4 you3	具有	具有	ju4 you3	generated	1802	4.323	unreviewed		wave1-05	132
具體|具体|ju4 ti3	具體	具体	ju4 ti3	generated	1603	4.452	unreviewed		wave1-07	120
再|再|zai4	再	再	zai4	generated	90	6.227	unreviewed		wave1-01	12
再次|再次|zai4 ci4	再次	再次	zai4 ci4	generated	855	4.919	unreviewed		wave1-03	167
冒險|冒险|mao4 xian3	冒險	冒险	mao4 xian3	generated	1132	4.724	unreviewed		wave1-09	101
冠軍|冠军|guan4 jun1	冠軍	冠军	guan4 jun1	generated	1039	4.785	unreviewed		wave1-04	176
冰|冰|bing1	冰	冰	bing1	generated	1219	4.674	unreviewed		wave1-07	120
冷|冷|leng3	冷	冷	leng3	generated	945	4.844	unreviewed		wave1-07	120
准|准|zhun3	准	准	zhun3	generated	978	4.822	unreviewed		wave1-06	143
几|几|ji1	几	几	ji1	generated	193	5.825	unreviewed		wave1-02	154
凱|凯|kai3	凱	凯	kai3	generated	2082	4.107	unreviewed		wave1-08	103
出來|出来|chu1 lai2	出來	出来	chu1 lai2	generated	203	5.795	unreviewed		wave1-02	154
