sense_uid	seq	trad	simp	realized	spans	shows	shows_simp
一般|一般|yi1 ban1~2	0	他一般七點起床，很少晚起。	他一般七点起床，很少晚起。	一般	[[1, 3]]		
一般|一般|yi1 ban1~3	0	他們兄弟兩人一般高。	他们兄弟两人一般高。	一般	[[6, 8]]		
一起|一起|yi1 qi3~1	0	我們一起去公園走走吧。	我们一起去公园走走吧。	一起	[[2, 4]]	副	副
一起|一起|yi1 qi3~1	1	他們兩個人住在一起。	他们两个人住在一起。	一起	[[7, 9]]	名	名
一起|一起|yi1 qi3~2	0	這三本書一起多少錢？	这三本书一起多少钱？	一起	[[4, 6]]		
一起|一起|yi1 qi3~3	0	昨天這裡發生了一起車禍。	昨天这里发生了一起车祸。	一起	[[7, 9]]		
一點|一点|yi1 dian3~1	0	我今天只喝了一點水。	我今天只喝了一点水。	一點	[[6, 8]]		
一點|一点|yi1 dian3~2	0	請你說得大聲一點。	请你说得大声一点。	一點	[[6, 8]]		
一點|一点|yi1 dian3~3	0	我們約在下午一點見面。	我们约在下午一点见面。	一點	[[6, 8]]		
一點|一点|yi1 dian3~4	0	你說的這一點我完全同意。	你说的这一点我完全同意。	一點	[[4, 6]]		
一點|一点|yi1 dian3~5	0	這個字最後一筆是一點。	这个字最后一笔是一点。	一點	[[8, 10]]		
七|七|qi1~1	0	一個星期有七天。	一个星期有七天。	七	[[5, 6]]		
丈夫|丈夫|zhang4 fu5~1	0	她丈夫在醫院工作。	她丈夫在医院工作。	丈夫	[[1, 3]]		
三|三|san1~1	0	我們三個人一起去看電影。	我们三个人一起去看电影。	三	[[2, 3]]		
三十|三十|san1 shi2~1	0	這個班上有三十個學生。	这个班上有三十个学生。	三十	[[5, 7]]		
上|上|shang4~1	0	快上車，我們要出發了。	快上车，我们要出发了。	上	[[1, 2]]		
上|上|shang4~2	0	弟弟今年開始上小學。	弟弟今年开始上小学。	上	[[6, 7]]		
上|上|shang4~5	0	他一步一步爬上了山頂。	他一步一步爬上了山顶。	上	[[6, 7]]	向高處	向高处
上|上|shang4~5	1	出去的時候請把門關上。	出去的时候请把门关上。	上	[[9, 10]]	結果	结果
上|上|shang4~6	0	桌子上有一杯熱茶。	桌子上有一杯热茶。	上	[[2, 3]]	表面	表面
上|上|shang4~6	1	路上的車子越來越多。	路上的车子越来越多。	上	[[1, 2]]	範圍內	范围内
上|上|shang4~6	2	實際上他早就知道了。	实际上他早就知道了。	上	[[2, 3]]	抽象範圍	抽象范围
上面|上面|shang4 mian4~1	0	桌子上面放著一本書。	桌子上面放着一本书。	上面	[[2, 4]]		
上面|上面|shang4 mian4~2	0	上面說的幾點請大家注意。	上面说的几点请大家注意。	上面	[[0, 2]]		
下|下|xia4~1	0	山下有一個小村子。	山下有一个小村子。	下	[[1, 2]]		
下|下|xia4~2	0	我們先看下一個問題吧。	我们先看下一个问题吧。	下	[[4, 5]]		
下|下|xia4~3	0	車還沒停好，請不要下車。	车还没停好，请不要下车。	下	[[9, 10]]		
下|下|xia4~4	0	外面下著大雨，先別出去了。	外面下着大雨，先别出去了。	下	[[2, 3]]		
下|下|xia4~5	0	他下了決心，明年一定要出國。	他下了决心，明年一定要出国。	下	[[1, 2]]		
下|下|xia4~6	0	走了一天，大家都想坐下休息。	走了一天，大家都想坐下休息。	下	[[10, 11]]	動作向下	动作向下
下|下|xia4~6	1	他在紙上寫下了自己的名字。	他在纸上写下了自己的名字。	下	[[5, 6]]	有了結果	有了结果
下|下|xia4~7	0	她輕輕地敲了三下門。	她轻轻地敲了三下门。	下	[[7, 8]]		
下來|下来|xia4 lai5~1	0	你快點下來，我們要走了。	你快点下来，我们要走了。	下來	[[3, 5]]		
下來|下来|xia4 lai5~2	0	他從樓上一步步走下來。	他从楼上一步步走下来。	下來	[[8, 10]]	動作向下	动作向下
下來|下来|xia4 lai5~2	1	這個命令是上面發下來的。	这个命令是上面发下来的。	下來	[[8, 10]]	由上而下	由上而下
下來|下来|xia4 lai5~3	0	請把他的電話記下來。	请把他的电话记下来。	下來	[[7, 9]]	動作完成	动作完成
下來|下来|xia4 lai5~3	1	車子在門口停下來了。	车子在门口停下来了。	下來	[[6, 8]]	停止不動	停止不动
下來|下来|xia4 lai5~4	0	他一個人堅持下來，真不容易。	他一个人坚持下来，真不容易。	下來	[[6, 8]]	用在動詞後	用在动词后
下來|下来|xia4 lai5~4	1	幾個月下來，他的中文進步了很多。	几个月下来，他的中文进步了很多。	下來	[[3, 5]]	用在時間詞後	用在时间词后
下午|下午|xia4 wu3~1	0	我們下午三點在圖書館見面。	我们下午三点在图书馆见面。	下午	[[2, 4]]		
下降|下降|xia4 jiang4~1	0	這幾天氣溫明顯下降。	这几天气温明显下降。	下降	[[7, 9]]		
下面|下面|xia4 mian4~1	0	小貓躲在車子下面不出來。	小猫躲在车子下面不出来。	下面	[[6, 8]]		
下面|下面|xia4 mian4~2	0	下面請大家看第二段文字。	下面请大家看第二段文字。	下面	[[0, 2]]		
不久|不久|bu4 jiu3~1	0	他走了不久，電話就響了。	他走了不久，电话就响了。	不久	[[3, 5]]		
不僅|不仅|bu4 jin3~1	0	他不僅會說英語，還會說日語。	他不仅会说英语，还会说日语。	不僅	[[1, 3]]	後接還	后接还
不僅|不仅|bu4 jin3~1	1	這種做法不僅浪費時間，而且沒有效果。	这种做法不仅浪费时间，而且没有效果。	不僅	[[4, 6]]	後接而且	后接而且
不僅|不仅|bu4 jin3~1	2	不僅如此，他還親自跑了一趟。	不仅如此，他还亲自跑了一趟。	不僅	[[0, 2]]	不僅如此	不仅如此
不再|不再|bu4 zai4~1	0	他病好了以後不再吃藥。	他病好了以后不再吃药。	不再	[[6, 8]]		
不到|不到|bu4 dao4~1	0	他來這個城市還不到三個月。	他来这个城市还不到三个月。	不到	[[7, 9]]		
不到|不到|bu4 dao4~2	0	我們約好九點見面，可是他一直不到。	我们约好九点见面，可是他一直不到。	不到	[[14, 16]]		
不可|不可|bu4 ke3~1	0	這件事千萬不可告訴別人。	这件事千万不可告诉别人。	不可	[[5, 7]]		
不同|不同|bu4 tong2~1	0	南方和北方的天氣很不同。	南方和北方的天气很不同。	不同	[[9, 11]]		
不少|不少|bu4 shao3~1	0	他這幾年去過不少國家。	他这几年去过不少国家。	不少	[[6, 8]]		
不少|不少|bu4 shao3~1	1	我們班喜歡打球的人不少。	我们班喜欢打球的人不少。	不少	[[9, 11]]		
不得不|不得不|bu4 de2 bu4~1	0	天太晚了，我們不得不回家。	天太晚了，我们不得不回家。	不得不	[[7, 10]]		
不斷|不断|bu4 duan4~1	0	他不斷努力，終於考上了大學。	他不断努力，终于考上了大学。	不斷	[[1, 3]]		
不是|不是|bu4 shi4~1	0	他不是老師，是學生。	他不是老师，是学生。	不是	[[1, 3]]	否定判斷	否定判断
不是|不是|bu4 shi4~1	1	不是我不想去，是實在沒時間。	不是我不想去，是实在没时间。	不是	[[0, 2]]	不是…是…	不是…是…
不是|不是|bu4 shi5~1	0	他昨天向大家賠了個不是。	他昨天向大家赔了个不是。	不是	[[9, 11]]		
不會|不会|bu4 hui4~1	0	我不會游泳，你教我好嗎？	我不会游泳，你教我好吗？	不會	[[1, 3]]		
不會|不会|bu4 hui4~2	0	天氣這麼好，明天不會下雨。	天气这么好，明天不会下雨。	不會	[[8, 10]]		
不會|不会|bu4 hui4~3	0	別人謝我的時候，我總是說不會。	别人谢我的时候，我总是说不会。	不會	[[12, 14]]		
不用|不用|bu4 yong4~1	0	這件事你不用擔心。	这件事你不用担心。	不用	[[4, 6]]		
不知|不知|bu4 zhi1~1	0	我不知他為什麼還沒回來。	我不知他为什么还没回来。	不知	[[1, 3]]		
不知|不知|bu4 zhi1~2	0	他工作起來不知疲倦，常常忙到半夜。	他工作起来不知疲倦，常常忙到半夜。	不知	[[5, 7]]		
不能|不能|bu4 neng2~1	0	我明天有事，不能去看你了。	我明天有事，不能去看你了。	不能	[[6, 8]]		
不能|不能|bu4 neng2~2	0	教室裡不能大聲說話。	教室里不能大声说话。	不能	[[3, 5]]		
不要|不要|bu4 yao4~1	0	你不要太擔心，事情會好起來的。	你不要太担心，事情会好起来的。	不要	[[1, 3]]		
不過|不过|bu4 guo4~1	0	這件衣服很好看，不過有點貴。	这件衣服很好看，不过有点贵。	不過	[[8, 10]]		
不過|不过|bu4 guo4~2	0	他來這裡不過三個月。	他来这里不过三个月。	不過	[[4, 6]]		
不過|不过|bu4 guo4~3	0	這個安排再好不過了。	这个安排再好不过了。	不過	[[6, 8]]		
且|且|qie3~1	0	這個方法簡單且有效，大家都同意。	这个方法简单且有效，大家都同意。	且	[[6, 7]]	並列	并列
且|且|qie3~1	1	這家店東西便宜，且離家很近。	这家店东西便宜，且离家很近。	且	[[8, 9]]	進一步	进一步
且|且|qie3~2	0	你且等一等，我馬上就回來。	你且等一等，我马上就回来。	且	[[1, 2]]	請求	请求
且|且|qie3~3	0	他們且走且談，不久就到了。	他们且走且谈，不久就到了。	且	[[2, 3]]	同時進行	同时进行
世紀|世纪|shi4 ji4~1	0	這座橋是上個世紀建成的。	这座桥是上个世纪建成的。	世紀	[[6, 8]]		
並且|并且|bing4 qie3~1	0	他仔細看了一遍，並且改了幾個字。	他仔细看了一遍，并且改了几个字。	並且	[[8, 10]]	連接動詞短語	连接动词短语
並且|并且|bing4 qie3~1	1	這個辦法很簡單，並且花錢不多。	这个办法很简单，并且花钱不多。	並且	[[8, 10]]	連接小句	连接小句
並非|并非|bing4 fei1~1	0	這件事並非他一個人的錯。	这件事并非他一个人的错。	並非	[[3, 5]]	單用否定	单用否定
並非|并非|bing4 fei1~1	1	問題並非不能解決，而是需要時間。	问题并非不能解决，而是需要时间。	並非	[[2, 4]]	並非…而是	并非…而是
中|中|zhong4~1	0	他第一槍就中了靶心。	他第一枪就中了靶心。	中	[[5, 6]]		
中|中|zhong4~1	1	沒想到我買的彩票真的中了。	没想到我买的彩票真的中了。	中	[[10, 11]]		
中|中|zhong4~2	0	新聞說有人在街上中了一槍。	新闻说有人在街上中了一枪。	中	[[8, 9]]		
中央|中央|zhong1 yang1~1	0	湖的中央有一座小島。	湖的中央有一座小岛。	中央	[[2, 4]]		
中央|中央|zhong1 yang1~2	0	這項政策由中央決定。	这项政策由中央决定。	中央	[[5, 7]]		
中學|中学|zhong1 xue2~1	0	他妹妹今年開始上中學。	他妹妹今年开始上中学。	中學	[[8, 10]]		
中心|中心|zhong1 xin1~1	0	學校就在城市的中心。	学校就在城市的中心。	中心	[[7, 9]]		
中心|中心|zhong1 xin1~2	0	這篇文章的中心是講環境保護。	这篇文章的中心是讲环境保护。	中心	[[5, 7]]		
中心|中心|zhong1 xin1~3	0	這家醫院是本市的醫療中心。	这家医院是本市的医疗中心。	中心	[[10, 12]]		
中間|中间|zhong1 jian1~1	0	他坐在我們兩個人的中間。	他坐在我们两个人的中间。	中間	[[9, 11]]		
中間|中间|zhong1 jian1~2	0	開會中間他出去接了個電話。	开会中间他出去接了个电话。	中間	[[2, 4]]		
主|主|zhu3~2	0	這家店的客人以年輕人為主。	这家店的客人以年轻人为主。	主	[[11, 12]]		
主|主|zhu3~6	0	教堂裡的人一起唱歌讚美主。	教堂里的人一起唱歌赞美主。	主	[[11, 12]]		
主|主|zhu3~7	0	古人相信這樣的夢主吉。	古人相信这样的梦主吉。	主	[[8, 9]]		
主|主|zhu3~8	0	打牌時他手裡的主特別多。	打牌时他手里的主特别多。	主	[[7, 8]]		
主任|主任|zhu3 ren4~1	0	系主任找我談了半小時。	系主任找我谈了半小时。	主任	[[1, 3]]		
主席|主席|zhu3 xi2~1	0	大會主席宣布會議開始。	大会主席宣布会议开始。	主席	[[2, 4]]		
主持|主持|zhu3 chi2~1	0	這次會議由校長主持。	这次会议由校长主持。	主持	[[7, 9]]		
主持|主持|zhu3 chi2~2	0	她主持過很多電視節目。	她主持过很多电视节目。	主持	[[1, 3]]		
主持|主持|zhu3 chi2~3	0	大家都希望有人來主持公道。	大家都希望有人来主持公道。	主持	[[8, 10]]		
主義|主义|zhu3 yi4~1	0	他年輕時相信過這種主義。	他年轻时相信过这种主义。	主義	[[9, 11]]		
主要|主要|zhu3 yao4~1	0	這是他決定離開的主要原因。	这是他决定离开的主要原因。	主要	[[8, 10]]		
主角|主角|zhu3 jue2~1	0	他在這部新電影裡演主角。	他在这部新电影里演主角。	主角	[[9, 11]]		
主題|主题|zhu3 ti2~1	0	這篇文章的主題是環境保護。	这篇文章的主题是环境保护。	主題	[[5, 7]]		
久|久|jiu3~1	0	我們已經很久沒見面了。	我们已经很久没见面了。	久	[[5, 6]]		
之一|之一|zhi1 yi1~1	0	他是我最好的朋友之一。	他是我最好的朋友之一。	之一	[[8, 10]]		
之一|之一|zhi1 yi1~2	0	這本書我只看了三分之一。	这本书我只看了三分之一。	之一	[[9, 11]]		
之下|之下|zhi1 xia4~1	0	在老師的幫助之下，他進步得很快。	在老师的帮助之下，他进步得很快。	之下	[[6, 8]]		
之下|之下|zhi1 xia4~2	0	大樹之下坐著幾個乘涼的老人。	大树之下坐着几个乘凉的老人。	之下	[[2, 4]]		
之下|之下|zhi1 xia4~3	0	他這次的成績在平均分之下。	他这次的成绩在平均分之下。	之下	[[10, 12]]		
之中|之中|zhi1 zhong1~1	0	三個辦法之中，這個最好。	三个办法之中，这个最好。	之中	[[4, 6]]	範圍	范围
之中|之中|zhi1 zhong1~1	1	這件事還在討論之中。	这件事还在讨论之中。	之中	[[7, 9]]	進行	进行
之前|之前|zhi1 qian2~1	0	吃飯之前一定要先洗手。	吃饭之前一定要先洗手。	之前	[[2, 4]]		
之外|之外|zhi1 wai4~1	0	他住在城市之外的一個小村子裡。	他住在城市之外的一个小村子里。	之外	[[5, 7]]		
之外|之外|zhi1 wai4~1	1	除了他之外，大家都同意了。	除了他之外，大家都同意了。	之外	[[3, 5]]		
之後|之后|zhi1 hou4~1	0	下課之後我們一起去吃飯。	下课之后我们一起去吃饭。	之後	[[2, 4]]		
之後|之后|zhi1 hou4~2	0	之後他再也沒有回過那個地方。	之后他再也没有回过那个地方。	之後	[[0, 2]]		
之間|之间|zhi1 jian1~1	0	父母和孩子之間也需要交流。	父母和孩子之间也需要交流。	之間	[[5, 7]]	兩者之間	两者之间
之間|之间|zhi1 jian1~1	1	同事之間應該互相幫助。	同事之间应该互相帮助。	之間	[[2, 4]]	多者之中	多者之中
之間|之间|zhi1 jian1~1	2	他的年齡大概在三十到四十歲之間。	他的年龄大概在三十到四十岁之间。	之間	[[13, 15]]	數量範圍	数量范围
之間|之间|zhi1 jian1~2	0	一夜之間，天氣就冷了下來。	一夜之间，天气就冷了下来。	之間	[[2, 4]]	極短時間	极短时间
乘|乘|cheng2~1	0	我們乘火車去南方。	我们乘火车去南方。	乘	[[2, 3]]		
乘|乘|cheng2~2	0	他乘別人不注意，拿走了東西。	他乘别人不注意，拿走了东西。	乘	[[1, 2]]		
乘|乘|cheng2~3	0	這道題要先乘再加。	这道题要先乘再加。	乘	[[5, 6]]		
乘客|乘客|cheng2 ke4~1	0	車上的乘客都繫好了安全帶。	车上的乘客都系好了安全带。	乘客	[[3, 5]]		
九|九|jiu3~1	0	他每天早上九點上班。	他每天早上九点上班。	九	[[5, 6]]		
也|也|ye3~1	0	他喜歡喝茶，我也喜歡。	他喜欢喝茶，我也喜欢。	也	[[7, 8]]	肯定句	肯定句
也|也|ye3~1	1	我也沒看過這部電影。	我也没看过这部电影。	也	[[1, 2]]	否定句	否定句
也|也|ye3~2	0	這個字連老師也不認識。	这个字连老师也不认识。	也	[[6, 7]]	連…也	连…也
也|也|ye3~2	1	他一句話也沒說就走了。	他一句话也没说就走了。	也	[[4, 5]]	一…也沒	一…也没
也|也|ye3~2	2	即使下雨，我們也要去。	即使下雨，我们也要去。	也	[[7, 8]]	即使…也	即使…也
乾|干|gan1~1	0	衣服曬了一天，已經乾了。	衣服晒了一天，已经干了。	乾	[[9, 10]]		
乾|干|gan1~5	0	他說話太乾，聽的人不舒服。	他说话太干，听的人不舒服。	乾	[[4, 5]]		
亂|乱|luan4~1	0	他的房間又小又亂。	他的房间又小又乱。	亂	[[7, 8]]		
亂|乱|luan4~2	0	你別亂動我的東西。	你别乱动我的东西。	亂	[[2, 3]]		
亂|乱|luan4~3	0	這幾天我心裡很亂，睡不好覺。	这几天我心里很乱，睡不好觉。	亂	[[7, 8]]		
了|了|le5~1	0	他昨天買了三本書。	他昨天买了三本书。	了	[[4, 5]]	完成	完成
了|了|le5~1	1	明天我下了課就去找你。	明天我下了课就去找你。	了	[[4, 5]]	先後	先后
了|了|le5~2	0	天黑了，我們回家吧。	天黑了，我们回家吧。	了	[[2, 3]]	變化	变化
了|了|le5~2	1	你做的菜太好吃了！	你做的菜太好吃了！	了	[[7, 8]]	加強語氣	加强语气
了|了|le5~2	2	你別再說這件事了。	你别再说这件事了。	了	[[7, 8]]	勸止	劝止
了|了|liao3~1	0	我實在受不了這麼吵的地方。	我实在受不了这么吵的地方。	了	[[5, 6]]		
了|了|liao3~3	0	這篇文章寫得平淡，了無新意。	这篇文章写得平淡，了无新意。	了	[[9, 10]]		
了解|了解|liao3 jie3~1	0	我們認識多年，我很了解他。	我们认识多年，我很了解他。	了解	[[9, 11]]		
了解|了解|liao3 jie3~2	0	我先去了解一下這件事。	我先去了解一下这件事。	了解	[[3, 5]]		
事|事|shi4~1	0	這件事我明天再跟你說。	这件事我明天再跟你说。	事	[[2, 3]]		
事|事|shi4~1	1	他今天有事，不能來上課。	他今天有事，不能来上课。	事	[[4, 5]]		
事件|事件|shi4 jian4~1	0	警方正在調查上個月的那起事件。	警方正在调查上个月的那起事件。	事件	[[12, 14]]		
事實|事实|shi4 shi2~1	0	你說的跟事實不同。	你说的跟事实不同。	事實	[[4, 6]]		
事實上|事实上|shi4 shi2 shang4~1	0	他看起來很年輕，事實上已經五十歲了。	他看起来很年轻，事实上已经五十岁了。	事實上	[[8, 11]]		
事情|事情|shi4 qing5~1	0	這件事情我已經處理好了。	这件事情我已经处理好了。	事情	[[2, 4]]		
事故|事故|shi4 gu4~1	0	那條路上昨天發生了一起交通事故。	那条路上昨天发生了一起交通事故。	事故	[[13, 15]]		
事業|事业|shi4 ye4~1	0	她三十歲就有了自己的事業。	她三十岁就有了自己的事业。	事業	[[10, 12]]		
事業|事业|shi4 ye4~1	1	他把一生獻給了教育事業。	他把一生献给了教育事业。	事業	[[9, 11]]		
二|二|er4~1	0	我住在二樓，他住在三樓。	我住在二楼，他住在三楼。	二	[[3, 4]]		
二|二|er4~2	0	他這個人有點兒二。	他这个人有点儿二。	二	[[7, 8]]		
二十|二十|er4 shi2~1	0	這個班一共有二十個學生。	这个班一共有二十个学生。	二十	[[6, 8]]		
互相|互相|hu4 xiang1~1	0	同學之間應該互相幫助。	同学之间应该互相帮助。	互相	[[6, 8]]		
五|五|wu3~1	0	他們一家五口住在城裡。	他们一家五口住在城里。	五	[[4, 5]]		
井|井|jing3~1	0	村子裡的那口井已經乾了。	村子里的那口井已经干了。	井	[[6, 7]]		
些|些|xie1~1	0	我在市場買了一些水果。	我在市场买了一些水果。	些	[[7, 8]]		
交|交|jiao1~1	0	請把這份報告交給老師。	请把这份报告交给老师。	交	[[6, 7]]		
交|交|jiao1~2	0	他在學校交了很多好朋友。	他在学校交了很多好朋友。	交	[[4, 5]]		
交|交|jiao1~3	0	圖上這兩條線交於一點。	图上这两条线交于一点。	交	[[6, 7]]		
交換|交换|jiao1 huan4~1	0	我們見面時交換了電話號碼。	我们见面时交换了电话号码。	交換	[[5, 7]]		
交換|交换|jiao1 huan4~2	0	這套設備能把信號交換到別的線路。	这套设备能把信号交换到别的线路。	交換	[[8, 10]]		
交換|交换|jiao1 huan4~3	0	加法的兩個數是可以交換的。	加法的两个数是可以交换的。	交換	[[9, 11]]		
交易|交易|jiao1 yi4~1	0	他們用手機在網上交易。	他们用手机在网上交易。	交易	[[8, 10]]	動	动
交易|交易|jiao1 yi4~1	1	這筆交易對雙方都有好處。	这笔交易对双方都有好处。	交易	[[2, 4]]	名	名
交流|交流|jiao1 liu2~1	0	我們應該多交流意見。	我们应该多交流意见。	交流	[[5, 7]]	動	动
交流|交流|jiao1 liu2~1	1	兩國之間的文化交流越來越多。	两国之间的文化交流越来越多。	交流	[[7, 9]]	名	名
交通|交通|jiao1 tong1~1	0	這座城市的交通很方便。	这座城市的交通很方便。	交通	[[5, 7]]		
交通|交通|jiao1 tong1~2	0	這幾條水路彼此交通，來往的船很多。	这几条水路彼此交通，来往的船很多。	交通	[[7, 9]]		
亮|亮|liang4~1	0	太陽出來了，外面很亮。	太阳出来了，外面很亮。	亮	[[9, 10]]		
亮|亮|liang4~2	0	前面的路燈突然亮了。	前面的路灯突然亮了。	亮	[[7, 8]]		
亮|亮|liang4~3	0	這個孩子的聲音又高又亮。	这个孩子的声音又高又亮。	亮	[[10, 11]]		
亮|亮|liang4~4	0	他向警察亮出了自己的證件。	他向警察亮出了自己的证件。	亮	[[4, 5]]		
人們|人们|ren2 men5~1	0	這件事讓人們感到十分意外。	这件事让人们感到十分意外。	人們	[[4, 6]]		
人口|人口|ren2 kou3~1	0	這個城市的人口越來越多。	这个城市的人口越来越多。	人口	[[5, 7]]		
人員|人员|ren2 yuan2~1	0	無關人員請不要進入實驗室。	无关人员请不要进入实验室。	人員	[[2, 4]]		
人士|人士|ren2 shi4~1	0	這次會議來了不少各界人士。	这次会议来了不少各界人士。	人士	[[10, 12]]		
人數|人数|ren2 shu4~1	0	開會的人數比上次少了很多。	开会的人数比上次少了很多。	人數	[[3, 5]]		
人民|人民|ren2 min2~1	0	政府應該為人民做更多的事。	政府应该为人民做更多的事。	人民	[[5, 7]]		
人物|人物|ren2 wu4~1	0	他是我們公司很重要的人物。	他是我们公司很重要的人物。	人物	[[10, 12]]		
人物|人物|ren2 wu4~2	0	這部小說裡的人物都很真實。	这部小说里的人物都很真实。	人物	[[6, 8]]		
人物|人物|ren2 wu4~3	0	他畫山水，也畫人物。	他画山水，也画人物。	人物	[[7, 9]]		
人生|人生|ren2 sheng1~1	0	人生總會遇到一些困難。	人生总会遇到一些困难。	人生	[[0, 2]]		
人類|人类|ren2 lei4~1	0	火的使用改變了人類的生活。	火的使用改变了人类的生活。	人類	[[7, 9]]		
什麼|什么|shen2 me5~1	0	你們昨天談了什麼？	你们昨天谈了什么？	什麼	[[6, 8]]		
什麼|什么|shen2 me5~2	0	我有點餓，想吃點什麼。	我有点饿，想吃点什么。	什麼	[[8, 10]]		
什麼|什么|shen2 me5~2	1	他什麼都不肯說。	他什么都不肯说。	什麼	[[1, 3]]		
今天|今天|jin1 tian1~1	0	今天下午我要去醫院看朋友。	今天下午我要去医院看朋友。	今天	[[0, 2]]		
今天|今天|jin1 tian1~2	0	今天的科技發展得非常快。	今天的科技发展得非常快。	今天	[[0, 2]]		
介紹|介绍|jie4 shao4~1	0	我來給你們介紹一下。	我来给你们介绍一下。	介紹	[[5, 7]]		
介紹|介绍|jie4 shao4~2	0	老師向我們介紹了學校的歷史。	老师向我们介绍了学校的历史。	介紹	[[5, 7]]	動	动
介紹|介绍|jie4 shao4~2	1	這本書的內容介紹很清楚。	这本书的内容介绍很清楚。	介紹	[[6, 8]]	名	名
仍|仍|reng2~1	0	過了這麼久，他仍不肯原諒我。	过了这么久，他仍不肯原谅我。	仍	[[7, 8]]		
仍然|仍然|reng2 ran2~1	0	這件事過了很久，他仍然記得很清楚。	这件事过了很久，他仍然记得很清楚。	仍然	[[9, 11]]		
他|他|ta1~1	0	他是我最好的朋友。	他是我最好的朋友。	他	[[0, 1]]		
他人|他人|ta1 ren2~1	0	我們不應該把責任推給他人。	我们不应该把责任推给他人。	他人	[[10, 12]]		
他們|他们|ta1 men5~1	0	他們昨天一起去看電影了。	他们昨天一起去看电影了。	他們	[[0, 2]]		
代|代|dai4~2	0	今天老師病了，由我代他上課。	今天老师病了，由我代他上课。	代	[[9, 10]]		
代|代|dai4~3	0	他們家三代都住在這條街上。	他们家三代都住在这条街上。	代	[[4, 5]]		
代表|代表|dai4 biao3~1	0	他代表全班向老師道謝。	他代表全班向老师道谢。	代表	[[1, 3]]	動	动
代表|代表|dai4 biao3~1	1	我們選他當學生代表。	我们选他当学生代表。	代表	[[7, 9]]	名	名
代表|代表|dai4 biao3~2	0	白色在這裡代表和平。	白色在这里代表和平。	代表	[[5, 7]]		
令|令|ling3~1	0	這家公司一次買了三令紙。	这家公司一次买了三令纸。	令	[[9, 10]]		
令|令|ling4~2	0	這個消息令人非常高興。	这个消息令人非常高兴。	令	[[4, 5]]		
以|以|yi3~1	0	他以最快的速度跑到學校。	他以最快的速度跑到学校。	以	[[1, 2]]	方式	方式
以|以|yi3~1	1	學生的名單以成績高低排列。	学生的名单以成绩高低排列。	以	[[5, 6]]	根據	根据
以|以|yi3~1	2	這座城市以美食聞名。	这座城市以美食闻名。	以	[[4, 5]]	原因	原因
以|以|yi3~3	0	工廠改用機器生產，以提高速度。	工厂改用机器生产，以提高速度。	以	[[9, 10]]	目的	目的
以上|以上|yi3 shang4~1	0	這個活動只接受十八歲以上的人參加。	这个活动只接受十八岁以上的人参加。	以上	[[10, 12]]		
