prov_id	model	method	generated_on	prompts
74	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R39)	2026-09-01	["general"]
75	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R42)	2026-09-02	["general"]
76	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R44)	2026-09-02	["general"]
77	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R49)	2026-09-03	["bound-form", "classifier-is", "general"]
78	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R49)	2026-09-03	["general", "pointer"]
79	claude-opus-5	single-pass g1 rung-2 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R49)	2026-09-03	["general"]
80	claude-opus-5	single-pass g1 rung-3 (validator rung) fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R51)	2026-09-03	["general"]
81	claude-opus-5	single-pass g1 rung-3 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R39; validator A01)	2026-09-01	["abbreviation", "general"]
82	claude-opus-5	single-pass g1 rung-3 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R39; validator A01)	2026-09-01	["classifier-is", "general"]
83	claude-opus-5	single-pass g1 rung-3 fix-spawn, blind gen-lean, packet + cumulative mechanical feedback (L60/L68, R42; validator A01)	2026-09-02	["classifier-is", "general", "loanword"]
84	claude-opus-5	single-pass g1 rung-3 fix-spawn, blind gen-lean, packet + mechanical feedback (L60/L68, R37; validator A01)	2026-08-25	["bound-form"]
85	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["abbreviation", "bound-form", "general"]
86	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["abbreviation", "general"]
87	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["bound-form", "classifier-is", "function-word", "general"]
88	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["classifier-is", "general", "pointer"]
89	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["classifier-is", "general"]
90	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["function-word", "general"]
91	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["function-word"]
92	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["general", "pointer"]
93	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["general"]
94	claude-opus-5	single-pass grouped@10, blind gen-lean, 12 packet spawns + typed rung-1 fix-spawns (R32 completion fleet, D102)	2026-08-24	["pointer"]
95	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["bound-form", "general"]
96	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["bound-form"]
97	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["classifier-is", "general"]
98	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["function-word", "general"]
99	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["function-word"]
100	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["general", "pointer"]
101	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["general"]
102	claude-opus-5	single-pass grouped@10, blind gen-lean, 15 packet spawns (14 g10 + 1 g3) + typed rung fix-spawns (R51 sub-batch-9 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["loanword"]
103	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["bound-form", "general"]
104	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["bound-form", "pointer"]
105	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["bound-form"]
106	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["classifier-is", "function-word", "general"]
107	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["classifier-is", "general"]
108	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["function-word", "general"]
109	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["function-word"]
110	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["general", "loanword"]
111	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["general"]
112	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g8) + typed rung fix-spawns (R49 sub-batch-8 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-03	["loanword"]
113	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["abbreviation", "bound-form"]
114	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["bound-form", "classifier-is", "general"]
115	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["bound-form", "function-word", "general"]
116	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["bound-form", "general"]
117	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["classifier-is", "general"]
118	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["function-word", "general"]
119	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["function-word"]
120	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (24 g10 + 1 g9) + typed rung fix-spawns (R47 sub-batch-7 fleet, D102; prompts carry the D111 schema repair, the L77 register/domain closed lists, and the three R46 substitutions: D124 CL-gloss claim, D125 `補`, the 動量詞 example form)	2026-09-02	["general"]
121	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["abbreviation", "bound-form", "general"]
122	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["abbreviation", "general"]
123	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["abbreviation"]
124	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "classifier-is", "general"]
125	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "general"]
126	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form"]
127	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["classifier-is", "general"]
128	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["classifier-is"]
129	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["function-word", "general"]
130	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["general", "loanword"]
131	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["general", "pointer"]
132	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R42 sub-batch-5 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["general"]
133	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["abbreviation", "general"]
134	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "classifier-is", "general"]
135	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "classifier-is", "pointer"]
136	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "function-word"]
